k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36
0.35468,0.35468,0.15272,0.0,0.333333,0.0,0.786667,0.14916,0.0,0.0,0.117068,0.0,0.0,0.127072,0.017094,0.0,0.0,0.127328,0.017094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.055557,0.031066,0.991481,0.985465,0.0,0.32336,0.130809,0.225806,0.25391,0.131261,0.035312
0.408867,0.408867,0.161088,0.0,0.0,0.0,1.0,0.161765,0.0,0.0,0.12002,0.07,0.0,0.129081,0.034188,0.068627,0.0,0.129341,0.034188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.202092,0.050372,0.991979,0.98622,0.0,0.344363,0.13253,0.193548,0.243222,0.132988,0.058304
0.374384,0.374384,0.123431,0.0,0.0,0.0,1.0,0.12395,0.0,0.0,0.12002,0.0,0.0,0.12657,0.076923,0.0,0.0,0.126824,0.076923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.071316,0.024398,0.992643,0.987353,0.0,0.284781,0.118761,0.16129,0.190302,0.119171,0.038831
0.364532,0.364532,0.083682,0.0,0.0,0.0,1.0,0.084034,0.0,0.0,0.181997,0.0,0.0,0.190357,0.068376,0.0,0.0,0.190237,0.068376,0.0,0.0,0.0,0.0,0.0,0.95316,0.0,0.185028,0.052462,0.990928,0.984521,0.0,1.028597,0.075731,0.16129,0.186392,0.075993,0.036405
0.325123,0.325123,0.104603,0.0,0.0,0.0,1.0,0.105042,0.0,0.0,0.150516,0.0,0.0,0.158212,0.068376,0.0,0.0,0.15853,0.068376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.338826,0.074378,0.991592,0.985654,0.0,0.625199,0.10327,0.129032,0.195255,0.103627,0.037078
0.423645,0.423645,0.127615,0.0,0.0,0.0,1.0,0.128151,0.0,0.0,0.122971,0.0,0.0,0.128579,0.094017,0.0,0.0,0.128334,0.094017,0.0,0.0,0.0,0.0,0.0,0.940967,0.0,0.256067,0.066701,0.99209,0.986409,0.0,0.763288,0.084337,0.193548,0.244265,0.084629,0.04185
0.428571,0.428571,0.207113,0.0,0.0,0.0,1.0,0.207983,0.0,0.0,0.100836,0.01,0.0,0.106981,0.076923,0.009804,0.0,0.106694,0.076923,0.0,0.0,0.0,0.0,0.0,0.934581,0.0,0.054696,0.021869,0.992587,0.987353,0.0,0.615729,0.141136,0.225806,0.209072,0.141623,0.021844
0.384236,0.384236,0.179916,0.0,0.0,0.0,1.0,0.180672,0.0,0.0,0.105263,0.0,0.0,0.113511,0.042735,0.0,0.0,0.113739,0.042735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.092159,0.022369,0.990762,0.984143,0.0,0.444519,0.151463,0.16129,0.199687,0.151986,0.021765
0.26601,0.26601,0.08159,0.0,0.0,0.0,1.0,0.081933,0.0,0.0,0.164781,0.0,0.0,0.176796,0.0,0.0,0.0,0.177151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.112911,0.049046,0.991592,0.985465,0.0,0.77311,0.104991,0.16129,0.180657,0.105354,0.02601
0.477833,0.477833,0.158996,0.0,0.166667,0.0,0.895495,0.157563,0.0,0.0,0.070831,0.0,0.0,0.070316,0.179487,0.0,0.0,0.070458,0.179487,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.104456,0.022224,0.992034,0.986409,0.0,0.656281,0.184165,0.193548,0.184828,0.184801,0.020628
0.394089,0.394089,0.175732,0.0,0.0,0.0,1.0,0.176471,0.0,0.0,0.05214,0.04,0.0,0.057258,0.076923,0.039216,0.0,0.057373,0.076923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.254786,0.059692,0.992698,0.987541,0.0,0.506105,0.13253,0.16129,0.144943,0.132988,0.0347
0.551724,0.551724,0.236402,0.0,0.166667,0.0,0.916396,0.235294,0.0,0.0,0.076734,0.0,0.0,0.085384,0.025641,0.0,0.0,0.085556,0.025641,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.374526,0.070675,0.990707,0.983955,0.0,0.298724,0.199656,0.16129,0.224453,0.200345,0.061853
0.453202,0.453202,0.188285,0.0,0.0,0.0,1.0,0.189076,0.0,0.0,0.145598,0.0,0.0,0.156705,0.008547,0.0,0.0,0.157021,0.008547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.294514,0.044434,0.99137,0.985276,0.0,0.521181,0.139415,0.290323,0.252607,0.139896,0.07469
0.477833,0.477833,0.282427,0.071429,0.666667,0.0,0.701127,0.27521,0.071429,0.0,0.168716,0.05,0.0,0.179307,0.025641,0.04902,0.0,0.179668,0.025641,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.156963,0.029971,0.991868,0.986031,0.0,0.639242,0.287435,0.290323,0.318822,0.288428,0.095278
0.517241,0.517241,0.261506,0.0,0.166667,0.0,0.921489,0.260504,0.0,0.0,0.155927,0.0,0.0,0.167755,0.0,0.0,0.0,0.168093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.094366,0.029493,0.992698,0.987353,0.0,0.373051,0.222031,0.258065,0.24635,0.222798,0.049163
0.369458,0.364532,0.200837,0.071429,0.0,0.0,1.0,0.201681,0.071429,0.0,0.188392,0.04,0.0,0.200402,0.008547,0.039216,0.0,0.200805,0.008547,0.0,0.0,0.0,0.636232,0.0,1.0,0.0,0.005756,0.017302,0.053167,0.984332,0.0,0.60777,0.135972,0.354839,0.277372,0.136442,0.032073
0.630542,0.630542,0.269874,0.071429,0.0,0.0,1.0,0.271008,0.071429,0.0,0.259223,0.01,0.0,0.272225,0.017094,0.009804,0.0,0.272773,0.017094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.032178,0.038663,0.991315,0.985087,0.0,0.691507,0.20654,0.290323,0.373566,0.207254,0.041542
0.53202,0.53202,0.280335,0.0,0.0,0.0,1.0,0.281513,0.0,0.0,0.280374,0.0,0.0,0.292315,0.042735,0.0,0.0,0.292904,0.042735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.079537,0.058973,0.991813,0.985842,0.0,0.556856,0.304647,0.322581,0.362096,0.305699,0.060702
0.438424,0.438424,0.228033,0.071429,0.0,0.0,1.0,0.228992,0.071429,0.0,0.371864,0.0,0.0,0.383225,0.08547,0.0,0.0,0.383996,0.076923,0.0,0.0,0.0,0.0,0.0,0.971857,0.0,0.410391,0.153722,0.992477,0.987164,0.0,0.369713,0.2358,0.483871,0.448384,0.236615,0.178977
0.275862,0.275862,0.228033,0.0,0.0,0.0,1.0,0.228992,0.0,0.0,0.446139,0.02,0.0,0.46007,0.068376,0.019608,0.0,0.460493,0.068376,0.0,0.0,0.0,0.0,0.0,0.975658,0.0,0.376696,0.11548,0.990762,0.984143,0.0,0.499218,0.146299,0.387097,0.422054,0.146805,0.231991
0.325123,0.325123,0.3159,0.0,0.333333,0.0,0.861286,0.313025,0.0,0.0,0.430398,0.24,0.0,0.435962,0.205128,0.235294,0.0,0.43533,0.205128,0.0,0.0,0.0,0.0,0.0,0.924822,0.0,0.064714,0.05237,0.991481,0.985276,0.0,0.527121,0.29432,0.387097,0.310219,0.295337,0.087012
0.226601,0.226601,0.228033,0.214286,0.0,0.0,1.0,0.228992,0.214286,0.0,0.354156,0.13,0.0,0.3556,0.247863,0.127451,0.0,0.356316,0.247863,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.164592,0.05897,0.991924,0.98622,0.0,0.502326,0.29432,0.290323,0.287018,0.295337,0.121641
0.192118,0.192118,0.32636,0.214286,0.0,0.0,1.0,0.327731,0.214286,0.0,0.394983,0.01,0.0,0.398795,0.222222,0.019608,0.0,0.399094,0.222222,0.0,0.0,0.0,0.0,0.0,0.973161,0.0,0.570115,0.152982,0.992421,0.986975,0.0,0.698814,0.42685,0.419355,0.382951,0.428325,0.430673
0.187192,0.187192,0.382845,0.285714,0.5,0.0,0.818039,0.378151,0.285714,0.0,0.530251,0.16,0.0,0.525364,0.418803,0.176471,0.0,0.525918,0.418803,0.0,0.0,0.0,0.0,0.0,0.978887,0.0,0.317081,0.100052,0.990596,0.983766,0.0,0.916421,0.488812,0.354839,0.258081,0.490501,0.14366
0.369458,0.364532,0.476987,0.214286,0.0,0.0,1.0,0.478992,0.214286,0.0,0.613871,0.16,0.0,0.600703,0.589744,0.166667,0.0,0.599899,0.589744,0.0,0.0,0.0,0.289387,0.0,0.925389,0.0,0.438789,0.155001,0.991426,0.985276,0.0,0.253232,0.581756,0.516129,0.409802,0.583765,0.227583
0.55665,0.55665,0.575314,0.428571,0.333333,0.0,0.910855,0.573529,0.428571,0.0,0.669946,0.6,0.0,0.672526,0.34188,0.588235,0.0,0.670861,0.34188,0.0,0.0,0.0,0.0,0.0,0.896195,0.0,0.307333,0.141843,0.991868,0.986031,0.0,1.091846,0.757315,0.612903,0.438738,0.759931,0.253653
0.596059,0.596059,0.531381,0.0,0.333333,0.0,0.905112,0.529412,0.0,0.0,0.690605,0.06,0.0,0.679056,0.589744,0.088235,0.0,0.677403,0.589744,0.0,0.0,0.0,0.0,0.0,0.898894,0.0,0.237288,0.136622,0.992587,0.987164,0.0,0.643843,0.784854,0.548387,0.460897,0.787565,0.292502
0.79803,0.79803,0.698745,0.214286,0.0,0.0,1.0,0.701681,0.214286,0.0,0.821938,0.65,0.0,0.807132,0.692308,0.647059,0.0,0.808757,0.666667,0.0,0.0,0.0,0.0,0.0,0.956619,0.0,0.08385,0.173116,0.990541,0.983766,0.0,0.699229,1.075731,0.612903,0.558655,1.079447,0.201604
0.916256,0.91133,0.82636,0.357143,0.0,0.0,1.0,0.829832,0.357143,0.0,0.858829,0.7,0.0,0.838774,0.794872,0.745098,0.0,0.837947,0.786325,0.0,0.0,0.0,0.210956,0.0,0.916563,0.0,0.267993,0.134606,0.991204,0.984899,0.0,0.661755,1.061962,0.709677,0.697862,1.062176,0.241242
